Paths,GB2014,GB2015,GB2016,US2014,US2015,US2016
Path44,-0.00962369,0.01363933,0.02970524,-0.009583106,0.02326145,0.02326145
Path45,0.02317457,0.006980759,0.00744426,0.006875768,-0.00697987,-0.00697987
Path46,0.02541561,0.03324443,0.04098497,0.007521612,0.02720485,0.02720485
Path47,0.01106479,0.02689892,0.02835343,0.01565639,0.02537871,0.02537871
Path48,0.002885534,0.01688533,0.01113323,0.000725976,0.005666477,0.005666477
Path49,0.02520714,0.02703844,0.02281513,0.02205563,0.02890481,0.02890481
Path50,0.02239387,0.03404818,0.05522827,0.02237694,0.035723,0.035723
Path51,0.03445096,0.02261865,0.02049939,0.01791532,-0.000147306,-0.000147306
Path52,0.001351347,0.01867205,0.03841914,0.006429168,0.02809567,0.02809567
Path53,0.01221446,0.01510898,0.01849461,0.01612583,0.008674047,0.008674047
Path54,0.009334661,0.01049795,0.02470927,0.008991022,0.01534954,0.01534954
Path55,0.02871225,0.04337989,0.04928676,0.007499555,0.02272073,0.02272073
Path56,0.02486881,0.01531054,0.003708501,0.02691736,0.004834313,0.004834313
Path57,0.03334478,0.03664298,0.03733126,0.02367783,0.03813094,0.03813094
Path58,0.007730797,0.01230873,0.01822134,-0.005175719,-0.003057823,-0.003057823
Path59,0.007749195,0.006403067,0.01578165,0.006124359,-0.00149505,-0.00149505
Path60,0.01659779,0.0281343,0.04616688,0.01449571,0.02308542,0.02308542
Path61,0.0361375,0.04333338,0.04936089,0.03358029,0.03021012,0.03021012
Path62,0.006073213,0.02060671,0.03898771,0.003153217,0.001221578,0.001221578
Path63,0.002317002,0.02758558,0.02337581,0.000802979,0.04055819,0.04055819
Path64,0.02910588,0.02944926,0.03631842,0.02751609,0.03697786,0.03697786
Path65,-0.006898719,-0.008646954,0.009722306,-0.001328088,-0.002053777,-0.002053777
Path66,0.01824545,0.03583755,0.04001738,0.002972413,0.02193053,0.02193053
Path67,0.02318019,0.03694041,0.0515403,0.02235418,0.04276153,0.04276153
Path68,0.03183461,0.052702,0.05714516,0.02299889,0.03764101,0.03764101
Path69,0.01287476,0.03072487,0.05178349,0.01464111,0.02084406,0.02084406
Path70,0.00335426,0.03050061,0.04110556,0.00269005,0.01913626,0.01913626
Path71,0.01692936,0.04638275,0.05840465,0.006857045,0.02305889,0.02305889
Path72,0.01303465,0.01505622,0.02550968,0.00611446,0.01077557,0.01077557
Path73,0.01164546,0.02678575,0.03463849,0.01571868,0.02630392,0.02630392
Path74,0.01438294,0.02581869,0.04455864,0.01043999,0.01386238,0.01386238
Path75,0.0123359,0.03656709,0.03273275,-0.000245754,0.03261598,0.03261598
Path76,0.01238753,0.02602877,0.01166426,0.001459984,0.0113237,0.0113237
Path77,0.01670182,0.04241476,0.03978772,0.01334703,0.03732675,0.03732675
Path78,0.00973636,0.03558606,0.03472453,0.008152162,0.02930157,0.02930157
Path79,0.01313835,0.008108492,0.02166095,0.00440795,-0.000383042,-0.000383042
Path80,0.01218901,0.005806509,0.009221813,0.008178965,0.008770902,0.008770902
Path81,0.01822128,0.02812941,0.05664436,0.01329647,0.01913512,0.01913512
Path82,0.03491721,0.03534107,0.0331559,0.03047298,0.02711441,0.02711441
Path83,0.02471254,0.03696719,0.04556044,0.01859372,0.0298493,0.0298493
Path84,0.01551521,0.04158811,0.0527219,0.008888832,0.02138232,0.02138232
Path85,0.02113316,0.01243845,0.01464739,0.01836445,0.01529821,0.01529821
Path86,0.01862807,0.03592313,0.02818225,0.01446611,0.03734532,0.03734532
Path87,0.02000507,0.03929151,0.03701168,0.01045709,0.03411869,0.03411869
Path88,0.02628897,0.03954969,0.04994409,0.02682943,0.02678598,0.02678598
Path89,0.02505152,0.05451677,0.04996571,0.01432133,0.04507449,0.04507449
Path90,0.01866379,0.01424838,0.04244706,0.01262464,0.01690228,0.01690228
Path91,0.0191701,0.02161152,0.03254229,0.0217032,0.02116699,0.02116699
Path92,0.003324254,0.002857899,0.02131393,0.00763545,0.004837468,0.004837468
Path93,0.009167042,0.01679144,0.0285902,0.005434364,0.01089441,0.01089441
Path94,0.006372568,0.02753164,0.03250965,0.004138167,0.01428376,0.01428376
Path95,0.01081067,0.01854193,0.01882721,0.005149458,0.006648491,0.006648491
Path96,0.02103846,0.03367098,0.01086327,0.008994934,0.01958789,0.01958789
Path97,0.007462416,0.01224066,0.02999463,-0.002642834,-0.003236809,-0.003236809
Path98,0.007095879,0.01603323,0.02276097,-0.006988691,0.004610041,0.004610041
Path99,0.01364282,0.008109349,0.02093497,0.01456698,0.005238577,0.005238577
Path100,0.00851464,0.01222241,0.02190248,0.006247489,0.002525968,0.002525968
Path101,0.02674607,0.02804695,0.03898947,0.01423154,0.01277542,0.01277542
Path102,0.01343515,0.02814715,0.0463864,3.44216E-05,0.01113833,0.01113833
Path103,0.02100853,0.01560959,0.01366103,0.02505549,0.01647638,0.01647638
Path104,0.01538345,0.02166078,0.01747292,0.005595788,0.01401633,0.01401633
Path105,0.007445556,0.03157061,0.04285271,0.01330982,0.03073623,0.03073623
Path106,0.01045402,-0.002006625,0.01216114,-0.007098855,-0.005723788,-0.005723788
Path107,0.04099621,0.02690725,0.03931143,0.03158195,0.01797436,0.01797436
Path108,0.004817024,0.004484569,0.009273904,0.00781246,0.01169551,0.01169551
Path109,0.02778754,0.01912218,0.03128207,0.01499982,0.01386712,0.01386712
Path110,0.01971896,0.01935339,0.0268958,0.01955371,0.02573522,0.02573522
Path111,-0.004587147,-0.003575218,0.01137297,-0.009000793,-0.01016402,-0.01016402
Path112,0.01365785,0.02023369,0.02386009,0.00982312,0.003517876,0.003517876
Path113,0.01145145,0.02729396,0.029699,0.02306043,0.04003006,0.04003006
Path114,0.02707127,0.03173077,0.03602965,0.01566252,0.03323036,0.03323036
Path115,0.0136903,0.02406714,0.01300056,0.01056368,0.01802721,0.01802721
Path116,0.0279682,0.03345819,0.0399577,0.01944239,0.02297507,0.02297507
Path117,0.01635451,0.01358914,0.02317742,0.004592557,0.008275402,0.008275402
Path118,0.01559258,0.01330588,0.01638142,0.01569852,0.02157916,0.02157916
Path119,0.01956231,0.02248269,0.03887054,0.005961836,0.004268741,0.004268741
Path120,0.007785886,0.008905557,0.01565635,0.007803122,0.001545056,0.001545056
Path121,0.01106758,0.02002071,0.01870633,0.000696785,0.0198524,0.0198524
Path122,0.02108404,0.03408572,0.06694684,0.02193544,0.04532906,0.04532906
Path123,0.04194319,0.05167978,0.05244526,0.02408726,0.0354439,0.0354439
Path124,0.01975625,0.025013,0.02254881,0.02341104,0.01456483,0.01456483
Path125,0.02217761,0.02727593,0.03042774,0.01590678,0.02897689,0.02897689
Path126,0.01248583,0.03010063,0.03694452,0.02699398,0.04469263,0.04469263
Path127,0.01454911,0.04537773,0.02493879,0.01429941,0.03609762,0.03609762
Path128,0.005685121,0.02832069,0.02228784,0.009917269,0.02228934,0.02228934
Path129,0.001127682,0.01771203,0.01368798,0.001993784,0.009130267,0.009130267
Path130,0.02849905,0.04212325,0.01878501,0.01869,0.01942343,0.01942343
Path131,0.0316713,0.0454959,0.03780109,0.04418984,0.04678671,0.04678671
Path132,0.02877303,0.05182377,0.05398458,0.01993453,0.03021367,0.03021367
Path133,0.009975652,0.04489522,0.04790134,0.01414634,0.03652164,0.03652164
Path134,0.02149113,0.0390914,0.03919921,0.009414072,0.02470507,0.02470507
Path135,0.01800706,0.01886814,0.0375289,0.01536711,0.02661512,0.02661512
Path136,0.01700032,0.02765163,0.01333985,0.02307724,0.03935041,0.03935041
Path137,-0.002254795,0.01715168,0.05711031,0.000466902,0.03718307,0.03718307
Path138,0.01687031,0.02566163,0.04153207,0.005748118,0.01354141,0.01354141
Path139,0.03522878,0.02988327,0.0240295,0.02985054,0.01982715,0.01982715
Path140,0.01750096,0.03449725,0.04026952,0.009370429,0.02945383,0.02945383
Path141,0.01275074,0.01598822,0.01286553,0.01443862,0.01662393,0.01662393
Path142,0.01302561,0.02674915,0.016472,0.01324924,0.01712407,0.01712407
Path143,-0.000617614,0.01232257,0.01666199,0.001420331,0.01097552,0.01097552
Path144,0.01709467,0.02090777,0.04183765,0.01793215,0.02521763,0.02521763
Path145,0.01684471,0.03148905,0.03850052,0.005420788,0.01837792,0.01837792
Path146,0.02335416,0.01708729,0.02191237,0.01905885,0.005583563,0.005583563
Path147,0.02413988,0.02298491,0.04776106,0.02024639,0.004633989,0.004633989
Path148,0.01794162,0.02507988,0.03402957,0.01397164,0.005863655,0.005863655
Path149,0.02712817,0.04959818,0.05996922,0.008763883,0.03321069,0.03321069
Path150,-0.002368864,-0.000522424,0.009333341,-0.000322221,0.009307365,0.009307365
Path151,0.008938149,0.00474863,0.03477277,0.02213858,0.02104781,0.02104781
Path152,0.002313124,0.006007427,0.04041808,-0.0003401,-0.001451232,-0.001451232
Path153,0.004308149,0.0241306,0.03452394,0.009999724,0.02088301,0.02088301
Path154,0.01392043,0.01508334,0.01536695,0.01723256,0.02773364,0.02773364
Path155,0.01882178,0.01501589,0.02751085,0.01398541,0.01022904,0.01022904
Path156,0.01194334,0.01189185,0.0314719,0.01957537,0.01421843,0.01421843
Path157,0.02150652,0.03141477,0.02516288,0.005615295,0.02014449,0.02014449
Path158,-0.006299126,0.004820792,0.03084752,-0.01248003,-0.009181791,-0.009181791
Path159,0.01809498,0.01376589,0.02957099,0.01777878,0.002938556,0.002938556
Path160,0.004401226,0.02623763,0.0266567,0.01079935,0.03882456,0.03882456
Path161,0.03836804,0.05653193,0.04282114,0.02562529,0.02591285,0.02591285
Path162,0.02863695,0.04147794,0.04662007,0.01652441,0.03631256,0.03631256
Path163,0.02246141,0.02444185,0.05320875,0.01709411,0.02449435,0.02449435
Path164,0.0132887,0.0241517,0.03810438,0.009312085,0.02002113,0.02002113
Path165,0.01793792,0.03427316,0.02387791,0.008370186,0.02439041,0.02439041
Path166,0.01900163,0.03208317,0.04134543,0.01846811,0.04215863,0.04215863
Path167,0.02066857,0.02431993,0.04599,0.008102112,0.01960224,0.01960224
Path168,0.01031369,0.005970639,0.02524397,0.01257688,0.006113737,0.006113737
Path169,0.01446899,0.0454552,0.05779577,0.02512048,0.04902152,0.04902152
Path170,0.01275721,0.0223932,0.0268836,0.007225587,0.0115465,0.0115465
Path171,0.008242434,0.02108518,0.04117922,0.000700961,0.02394599,0.02394599
Path172,0.0301702,0.02869313,0.02871621,0.01213779,0.01145996,0.01145996
Path173,0.01860159,0.04347951,0.05588286,0.02067008,0.04464746,0.04464746
Path174,0.0305158,0.02711879,0.03642328,0.02260712,0.0291527,0.0291527
Path175,0.00702787,0.02287833,0.04803132,0.001940587,0.01988138,0.01988138
Path176,0.02127164,0.03030154,0.03580835,0.0139964,0.03718934,0.03718934
Path177,0.007524237,0.0180209,0.0264599,0.01772158,0.02258178,0.02258178
Path178,0.01375435,0.01807767,0.01115992,-0.006533193,0.01712601,0.01712601
Path179,0.002565285,0.01794707,0.02396963,-0.01441901,-0.001105426,-0.001105426
Path180,0.01306463,0.03081032,0.02986071,0.01123695,0.03640856,0.03640856
Path181,0.003313335,0.006678418,0.01459649,0.002916849,0.006083995,0.006083995
Path182,0.0275397,0.05398433,0.06744297,0.02112087,0.04455944,0.04455944
Path183,0.01391604,0.01144069,0.002218179,0.01997045,0.01010581,0.01010581
Path184,0.02385476,0.01346106,0.02643076,0.007162864,0.02514074,0.02514074
Path185,0.01369696,0.03442429,0.02818083,0.01352865,0.0346112,0.0346112
Path186,0.01526442,0.03778339,0.04750048,0.005330035,0.01895146,0.01895146
Path187,0.01477723,0.0355683,0.04431084,0.01512837,0.02575978,0.02575978
Path188,0.02695591,0.0383468,0.04891987,0.02512565,0.03823226,0.03823226
Path189,0.001590731,0.01773918,0.02268854,-0.004368406,0.007674919,0.007674919
Path190,0.01000684,0.005394656,0.01077362,0.007314322,0.01029714,0.01029714
Path191,0.01318807,0.02272384,0.02921726,-0.002251115,0.007800186,0.007800186
Path192,-0.002172145,0.01787332,0.01922265,-0.006247345,0.000842014,0.000842014
Path193,0.04415783,0.04688402,0.04925674,0.02998364,0.01330833,0.01330833
Path194,0.01859382,0.01643798,0.0294808,0.01553034,0.02132696,0.02132696
Path195,0.01933434,0.05418995,0.04702146,0.01718332,0.0542419,0.0542419
Path196,0.007174904,0.01186974,0.03398452,-0.003048863,0.002323947,0.002323947
Path197,0.001388113,0.002666768,0.01094633,-0.009817704,-0.003273175,-0.003273175
Path198,0.0362789,0.0246894,0.02934716,0.01358863,0.001134628,0.001134628
Path199,0.004476321,0.03016246,0.02173015,0.01200223,0.02654302,0.02654302
Path200,0.02519281,0.03718659,0.03912882,0.0241749,0.02662202,0.02662202
Path201,0.01698255,0.03398498,0.05378007,0.01235256,0.02415337,0.02415337
Path202,0.02350477,0.03673059,0.0302699,0.01764003,0.03345677,0.03345677
Path203,0.008142167,0.02765997,0.03142933,-0.003296479,0.02624225,0.02624225
Path204,0.01935333,0.02083696,0.04519589,0.01831693,0.02277582,0.02277582
Path205,0.007617457,0.03123578,0.03119849,0.005410287,0.01737502,0.01737502
Path206,0.01531777,0.03566172,0.04600965,0.0155133,0.0374743,0.0374743
Path207,0.01200836,0.008747,0.02154682,0.005267067,0.001469642,0.001469642
Path208,0.02604432,0.03517989,0.06844331,0.04017547,0.0411365,0.0411365
Path209,0.01366754,0.02265306,0.03461276,0.01816117,0.01798176,0.01798176
Path210,0.01420462,0.02272206,0.06341004,0.001750835,0.01119814,0.01119814
Path211,0.04373139,0.02652958,0.0141042,0.03162464,0.02938593,0.02938593
Path212,0.003111933,0.0249778,0.03560314,0.004701615,0.02797932,0.02797932
Path213,0.007212543,0.01215573,0.03138786,0.002923868,0.007780605,0.007780605
Path214,0.003121593,0.01260373,0.01793039,0.0112454,0.009628826,0.009628826
Path215,0.01752862,0.01337736,0.01493538,-0.003504794,0.00462145,0.00462145
Path216,0.009770741,0.01916828,0.03529696,0.01062507,0.02442465,0.02442465
Path217,0.008342392,0.0166749,0.02143618,0.002353523,0.02313373,0.02313373
Path218,0.03554234,0.04207444,0.02497815,0.02496073,0.05368252,0.05368252
Path219,0.02253228,0.04431311,0.03342688,0.01891729,0.0476797,0.0476797
Path220,0.02574043,0.0312673,0.04509,0.02479203,0.02523127,0.02523127
Path221,0.008238226,0.008548522,0.02112031,0.006511562,0.01766376,0.01766376
Path222,0.01588263,0.02484609,0.02338659,0.01043565,0.0328955,0.0328955
Path223,0.01599266,0.01653269,0.03500471,0.01237046,-0.002587373,-0.002587373
Path224,0.005255608,0.001130776,0.01270098,-0.002331731,-0.013358,-0.013358
Path225,0.02486073,0.02456649,0.02447366,0.01616772,0.0296549,0.0296549
Path226,0.02892275,0.0382053,0.04701457,0.0240168,0.03465774,0.03465774
Path227,0.01546225,0.01463078,0.04066853,0.01205512,0.006879743,0.006879743
Path228,0.01818201,0.01850138,0.03865357,0.01271023,0.008140039,0.008140039
Path229,0.02359606,0.05807093,0.05080554,0.03176779,0.05945772,0.05945772
Path230,0.000720838,-0.0081043,0.01007436,0.003759984,-0.02210486,-0.02210486
Path231,0.01236454,0.03068146,0.03994316,0.01256377,0.02251435,0.02251435
Path232,0.03265362,0.01358208,0.04283192,0.02845645,0.01321662,0.01321662
Path233,0.01373126,0.02889418,0.02624559,0.002671368,0.01527041,0.01527041
Path234,0.009560814,0.0191519,0.01053622,0.01506754,0.007591115,0.007591115
Path235,0.02403225,0.03478303,0.06569823,0.01656596,0.02364329,0.02364329
Path236,0.01552791,0.02973477,0.0247194,0.006143082,0.0266615,0.0266615
Path237,0.01579128,0.006245659,0.02763222,0.002473097,-0.003636973,-0.003636973
Path238,0.01562408,0.01148273,0.01352945,0.01551766,0.01062496,0.01062496
Path239,0.007772935,0.004534512,0.01928373,0.001024401,0.004349388,0.004349388
Path240,0.009499376,0.009972939,0.01557623,0.000960827,0.005718554,0.005718554
Path241,0.01527507,0.02972479,0.05280619,0.01326061,0.02574854,0.02574854
Path242,0.01517038,0.03204482,0.0287369,0.01046681,0.04054203,0.04054203
Path243,0.02634476,0.02127945,0.03753081,0.01133909,0.007963676,0.007963676
Path244,0.02113167,0.02007044,0.02476011,0.01513065,0.00869019,0.00869019
Path245,0.0219237,0.01130304,0.02457409,0.0191639,0.005512858,0.005512858
Path246,0.009995904,0.04946028,0.0420027,0.008011527,0.03929631,0.03929631
Path247,0.005437163,0.02112663,0.03582149,6.76762E-05,0.01959986,0.01959986
Path248,0.02352312,0.01762016,0.03616186,0.01182017,0.007518541,0.007518541
Path249,0.01257129,0.0144723,0.0176377,0.01414687,0.01733841,0.01733841
Path250,0.01880922,0.02727193,0.01828236,0.02190941,0.02471435,0.02471435
Path251,0.01146795,0.03237702,0.03634333,0.007894385,0.03998859,0.03998859
Path252,0.0109296,0.03705096,0.02691486,0.000525873,0.009320509,0.009320509
Path253,0.0170281,0.03458906,0.04001954,0.009698196,0.03963835,0.03963835
Path254,0.003075379,0.01549162,0.02806521,-0.00370204,0.009134637,0.009134637
Path255,0.01833296,0.04569646,0.06212476,0.008107976,0.03215757,0.03215757
Path256,0.004165863,0.008658919,0.02457239,0.004535625,0.01000957,0.01000957
Path257,0.02424871,0.01684662,0.02695275,0.01530504,0.005584678,0.005584678
Path258,0.01873458,0.01028438,0.01504298,0.01409766,0.0234532,0.0234532
Path259,0.02844044,0.03966888,0.04154743,0.01998909,0.03745147,0.03745147
Path260,0.01067344,0.02654754,0.03099411,0.01913377,0.04195296,0.04195296
Path261,0.01923505,0.01484688,0.01849411,0.01151676,0.01757854,0.01757854
Path262,0.01533779,0.02989611,0.04388028,0.01466251,0.03143044,0.03143044
Path263,0.02279572,0.03697768,0.02753115,0.02161598,0.02938499,0.02938499
Path264,-0.01594687,0.007488271,0.02302566,-0.01631086,0.00227084,0.00227084
Path265,0.02637484,0.04804454,0.05420792,0.008603875,0.03801821,0.03801821
Path266,0.03059111,0.0484169,0.05249982,0.02053768,0.03662935,0.03662935
Path267,0.007731054,0.00560539,0.006682116,-0.000959252,-0.01141152,-0.01141152
Path268,0.006192588,-0.000995559,0.02100678,0.01150285,0.01784412,0.01784412
Path269,0.02022962,0.0195549,0.01596269,0.02196152,0.02344357,0.02344357
Path270,0.01161829,0.02826772,0.01927247,0.000567903,0.01288997,0.01288997
Path271,0.00925882,0.007446398,0.006081883,0.003926793,0.0063746,0.0063746
Path272,0.009225448,0.03111789,0.04946486,-0.000963096,0.01684626,0.01684626
Path273,0.02769367,0.02013611,0.01576035,0.01368264,0.01705037,0.01705037
Path274,0.02421943,0.03421225,0.05069233,0.01345412,0.02602948,0.02602948
Path275,0.03024534,0.04764385,0.07051287,0.03614639,0.04373586,0.04373586
Path276,0.02922708,0.03883069,0.0426924,0.02567056,0.03338296,0.03338296
Path277,0.02243061,0.03558658,0.03905942,0.02225555,0.03848825,0.03848825
Path278,0.02357299,0.02317415,0.03169784,0.02765749,0.006489341,0.006489341
Path279,0.02493787,0.02260063,0.05182361,0.01140066,0.01278433,0.01278433
Path280,0.02652647,0.04593009,0.07537486,0.005405321,0.02591018,0.02591018
Path281,0.02413818,0.03999649,0.05029837,0.007675146,0.03353381,0.03353381
Path282,0.01372887,0.02894126,0.02825124,0.0115639,0.02853016,0.02853016
Path283,0.03582359,0.04628598,0.05250842,0.02185285,0.04142527,0.04142527
Path284,0.01767814,0.007780565,0.03323194,0.007099997,0.002434241,0.002434241
Path285,0.02681559,0.02937309,0.04469146,0.007998298,0.0192158,0.0192158
Path286,0.02261094,0.03712278,0.02398084,0.01819109,0.02946327,0.02946327
Path287,0.01098189,0.01677551,0.03758268,0.01932877,0.02264497,0.02264497
Path288,0.02186836,0.0184689,0.03083436,0.02044676,0.02412047,0.02412047
Path289,0.02123789,0.03930103,0.06285975,-0.002649902,0.01309173,0.01309173
Path290,0.0281271,0.04604207,0.05024032,0.02531491,0.04780503,0.04780503
Path291,0.007939369,0.01458723,0.01753026,0.007676701,0.01899722,0.01899722
Path292,0.02411226,0.01607748,0.03384034,0.01711543,0.006272179,0.006272179
Path293,0.02264619,0.01918747,0.01967544,0.02146606,0.01999968,0.01999968
Path294,0.03368578,0.0511489,0.05607913,0.02304597,0.04312966,0.04312966
Path295,0.01984604,0.02089164,0.04301207,0.01327001,0.0153899,0.0153899
Path296,0.02915387,0.03770168,0.03962643,0.02321807,0.01809013,0.01809013
Path297,0.01341452,0.02143199,0.04448017,0.005982869,0.01935532,0.01935532
Path298,0.01722907,0.02333543,0.01806071,0.01487051,0.01140558,0.01140558
Path299,0.005202236,0.01890206,0.02853516,0.00869999,0.02107931,0.02107931
Path300,0.02100531,0.0168626,0.01556395,0.01910816,0.02737374,0.02737374
Path301,0.02734693,0.04776491,0.05669839,0.02275361,0.02891141,0.02891141
Path302,0.0254365,0.03231062,0.0499834,0.04146065,0.04444944,0.04444944
Path303,0.01824607,0.01807362,0.02038767,0.006356558,0.007925483,0.007925483
Path304,0.02256946,0.01657288,0.01067067,0.03691923,0.03859728,0.03859728
Path305,0.008850114,0.0217336,0.04308177,-0.001420201,0.00473853,0.00473853
Path306,0.005529306,0.009999391,0.04556861,0.001578958,0.01529763,0.01529763
Path307,0.01014967,0.004637494,0.01484604,0.00981773,-0.00769538,-0.00769538
Path308,0.005098225,0.03635114,0.04083912,0.008898431,0.04372144,0.04372144
Path309,0.01695262,0.02537281,0.02556411,0.0195308,0.02709693,0.02709693
Path310,0.008581302,0.02764003,0.03150844,0.01222069,0.01666546,0.01666546
Path311,0.02487733,0.04309724,0.03405971,0.03096252,0.05207832,0.05207832
Path312,0.002904129,0.006285559,0.01763763,-0.003169426,-0.004453063,-0.004453063
Path313,0.03704857,0.04049855,0.06840913,0.02864099,0.03585619,0.03585619
Path314,0.01584504,0.02429458,0.02821286,0.01000717,0.02408233,0.02408233
Path315,0.03656039,0.03016206,0.06067212,0.02186036,0.02151787,0.02151787
Path316,0.02968251,0.03021391,0.03789385,0.02439647,0.02411666,0.02411666
Path317,0.01759012,0.01022758,0.02450857,0.02092009,0.002029984,0.002029984
Path318,0.02624171,0.03378355,0.05619832,0.02797881,0.03177195,0.03177195
Path319,0.02370798,0.03285102,0.05272059,0.02034235,0.03267284,0.03267284
Path320,0.02585091,0.0331758,0.04514163,0.02023591,0.03111,0.03111
Path321,0.0283385,0.03051966,0.04935507,0.02397618,0.01984971,0.01984971
Path322,0.01335673,0.008609659,0.01503232,0.009415574,0.007770097,0.007770097
Path323,0.01255594,0.01984894,0.03260232,0.003321967,0.0188598,0.0188598
Path324,-0.003700817,0.009307601,0.007241366,0.002347566,0.008847928,0.008847928
Path325,0.0196648,0.0279,0.03194418,0.01552129,0.02755613,0.02755613
Path326,0.0172658,0.01227507,0.02034795,0.01414438,0.01414682,0.01414682
Path327,0.01606949,0.02040531,0.02291347,0.01325052,0.0335977,0.0335977
Path328,0.000111601,-0.0034018,0.02026248,-0.01656204,-0.004587894,-0.004587894
Path329,0.007943655,0.02203807,0.02637223,0.003382915,0.01799604,0.01799604
Path330,0.02212674,0.04907025,0.07213615,0.01576491,0.06415775,0.06415775
Path331,0.01865542,0.03627292,0.03678429,0.02100958,0.0276549,0.0276549
Path332,0.0322879,0.03624488,0.03508328,0.03322925,0.02579948,0.02579948
Path333,0.02474089,0.03714913,0.04471681,0.02166704,0.04215395,0.04215395
Path334,0.01262224,0.02111403,0.02105795,0.01368485,0.02196806,0.02196806
Path335,0.01760266,0.02279514,0.02655482,-0.00155147,0.01015466,0.01015466
Path336,0.02422753,0.03569411,0.02643282,0.0171112,0.02569607,0.02569607
Path337,0.03226649,0.05015554,0.06404233,0.02766001,0.03995786,0.03995786
Path338,0.004068741,0.0207182,0.04581518,0.00145546,0.009207718,0.009207718
Path339,0.01008822,0.04209124,0.05868675,0.01485233,0.03201778,0.03201778
Path340,5.66186E-05,0.01211684,0.02583263,-0.005942998,0.007897058,0.007897058
Path341,0.02442877,0.03893722,0.03769924,0.02272185,0.04051912,0.04051912
Path342,0.01924073,0.02229327,0.04301416,0.004532121,0.002261482,0.002261482
Path343,0.02275955,0.02779322,0.03601295,0.01528475,0.0360263,0.0360263
Path344,0.02739493,0.02658028,0.03498331,0.03170326,0.0230609,0.0230609
Path345,0.02955552,0.02842554,0.05081536,0.03809171,0.03441272,0.03441272
Path346,0.007443637,0.04604315,0.04280287,0.009708613,0.0315717,0.0315717
Path347,0.01525844,0.03191759,0.05534682,0.006628011,0.01457118,0.01457118
